Story_No,No_InSeries,Series,Episode,The_Doctor,Companions,Showrunner,Directed_by,Written_by,Original_release_date,UK_viewers_millions,Appreciation_Index,StoryType
157,1,One,Rose,Ninth Doctor,Rose Tyler,Russell T Davies,Keith Boak,Russell T Davies,26/03/2005,10.81,76,Standalone
158,2,One,The End of the World,Ninth Doctor,Rose Tyler,Russell T Davies,Euros Lyn,Russell T Davies,02/04/2005,7.97,76,Standalone
159,3,One,The Unquiet Dead,Ninth Doctor,Rose Tyler,Russell T Davies,Euros Lyn,Mark Gatiss,09/04/2005,8.86,80,Standalone
160a,4,One,Aliens of London,Ninth Doctor,Rose Tyler,Russell T Davies,Keith Boak,Russell T Davies,16/04/2005,7.63,82,Two-Parter
160b,5,One,World War Three,Ninth Doctor,Rose Tyler,Russell T Davies,Keith Boak,Russell T Davies,23/04/2005,7.98,81,Two-Parter
161,6,One,Dalek,Ninth Doctor,Rose Tyler,Russell T Davies,Joe Ahearne,Robert Shearman,30/04/2005,8.63,84,Standalone
162,7,One,The Long Game,Ninth Doctor,Rose Tyler,Russell T Davies,Brian Grant,Russell T Davies,07/05/2005,8.01,81,Standalone
163,8,One,Father's Day,Ninth Doctor,Rose Tyler,Russell T Davies,Joe Ahearne,Paul Cornell,14/05/2005,8.06,83,Standalone
164a,9,One,The Empty Child,Ninth Doctor,Rose Tyler,Russell T Davies,James Hawes,Steven Moffat,21/05/2005,7.11,84,Two-Parter
164b,10,One,The Doctor Dances,Ninth Doctor,Rose Tyler,Russell T Davies,James Hawes,Steven Moffat,28/05/2005,6.86,85,Two-Parter
165,11,One,Boom Town,Ninth Doctor,Rose Tyler,Russell T Davies,Joe Ahearne,Russell T Davies,04/06/2005,7.68,82,Standalone
166a,12,One,Bad Wolf,Ninth Doctor,Rose Tyler,Russell T Davies,Joe Ahearne,Russell T Davies,11/06/2005,6.81,86,Two-Parter
166b,13,One,The Parting of the Ways,Ninth Doctor,Rose Tyler,Russell T Davies,Joe Ahearne,Russell T Davies,18/06/2005,6.91,89,Two-Parter
167,Special,Two,The Christmas Invasion,Tenth Doctor,Rose Tyler,Russell T Davies,James Hawes,Russell T Davies,25/12/2005,9.84,84,Standalone
168,1,Two,New Earth,Tenth Doctor,Rose Tyler,Russell T Davies,James Hawes,Russell T Davies,15/04/2006,8.62,85,Standalone
169,2,Two,Tooth and Claw,Tenth Doctor,Rose Tyler,Russell T Davies,Euros Lyn,Russell T Davies,22/04/2006,9.24,83,Standalone
170,3,Two,School Reunion,Tenth Doctor,Rose Tyler,Russell T Davies,James Hawes,Toby Whithouse,29/04/2006,8.31,85,Standalone
171,4,Two,The Girl in the Fireplace,Tenth Doctor,Rose Tyler,Russell T Davies,Euros Lyn,Steven Moffat,06/05/2006,7.9,84,Standalone
172a,5,Two,Rise of the Cybermen,Tenth Doctor,Rose Tyler,Russell T Davies,Graeme Harper,Tom MacRae,13/05/2006,9.22,86,Two-Parter
172b,6,Two,The Age of Steel,Tenth Doctor,Rose Tyler,Russell T Davies,Graeme Harper,Tom MacRae,20/05/2006,7.63,86,Two-Parter
173,7,Two,The Idiot's Lantern,Tenth Doctor,Rose Tyler,Russell T Davies,Euros Lyn,Mark Gatiss,27/05/2006,6.76,84,Standalone
174a,8,Two,The Impossible Planet,Tenth Doctor,Rose Tyler,Russell T Davies,James Strong,Matt Jones,03/06/2006,6.32,85,Two-Parter
174b,9,Two,The Satan Pit,Tenth Doctor,Rose Tyler,Russell T Davies,James Strong,Matt Jones,10/06/2006,6.08,86,Two-Parter
175,10,Two,Love & Monsters,Tenth Doctor,Rose Tyler,Russell T Davies,Dan Zeff,Russell T Davies,17/06/2006,6.66,76,Standalone
176,11,Two,Fear Her,Tenth Doctor,Rose Tyler,Russell T Davies,Euros Lyn,Matthew Graham,24/06/2006,7.14,83,Standalone
177a,12,Two,Army of Ghosts,Tenth Doctor,Rose Tyler,Russell T Davies,Graeme Harper,Russell T Davies,01/07/2006,8.19,86,Two-Parter
177b,13,Two,Doomsday,Tenth Doctor,Rose Tyler,Russell T Davies,Graeme Harper,Russell T Davies,08/07/2006,8.22,89,Two-Parter
178,Special,Three,The Runaway Bride,Tenth Doctor,Donna Nobel,Russell T Davies,Euros Lyn,Russell T Davies,25/12/2006,9.35,84,Standalone
179,1,Three,Smith and Jones,Tenth Doctor,Martha Jones,Russell T Davies,Charles Palmer,Russell T Davies,31/03/2007,8.71,88,Standalone
180,2,Three,The Shakespeare Code,Tenth Doctor,Martha Jones,Russell T Davies,Charles Palmer,Gareth Roberts,07/04/2007,7.23,87,Standalone
181,3,Three,Gridlock,Tenth Doctor,Martha Jones,Russell T Davies,Richard Clark,Russell T Davies,14/04/2007,8.41,85,Standalone
182a,4,Three,Daleks in Manhattan,Tenth Doctor,Martha Jones,Russell T Davies,James Strong,Helen Raynor,21/04/2007,6.69,86,Two-Parter
182b,5,Three,Evolution of the Daleks,Tenth Doctor,Martha Jones,Russell T Davies,James Strong,Helen Raynor,28/04/2007,6.97,85,Two-Parter
183,6,Three,The Lazarus Experiment,Tenth Doctor,Martha Jones,Russell T Davies,Richard Clark,Stephen Greenhorn,05/05/2007,7.19,86,Standalone
184,7,Three,42,Tenth Doctor,Martha Jones,Russell T Davies,Graeme Harper,Chris Chibnall,19/05/2007,7.41,85,Standalone
185a,8,Three,Human Nature,Tenth Doctor,Martha Jones,Russell T Davies,Charles Palmer,Paul Cornell,26/05/2007,7.74,86,Two-Parter
185b,9,Three,The Family of Blood,Tenth Doctor,Martha Jones,Russell T Davies,Charles Palmer,Paul Cornell,02/06/2007,7.21,86,Two-Parter
186,10,Three,Blink,Tenth Doctor,Martha Jones,Russell T Davies,Hettie MacDonald,Steven Moffat,09/06/2007,6.62,87,Standalone
187a,11,Three,Utopia,Tenth Doctor,"Martha Jones, Jack Harkness",Russell T Davies,Graeme Harper,Russell T Davies,16/06/2007,7.84,87,Three-Parter
187b,12,Three,The Sound of Drums,Tenth Doctor,"Martha Jones, Jack Harkness",Russell T Davies,Colin Teague,Russell T Davies,23/06/2007,7.51,87,Three-Parter
187c,13,Three,Last of the Time Lords,Tenth Doctor,"Martha Jones, Jack Harkness",Russell T Davies,Colin Teague,Russell T Davies,30/06/2007,8.61,88,Three-Parter
188,Special,Four,Voyage of the Damned,Tenth Doctor,Astrid Peth,Russell T Davies,James Strong,Russell T Davies,25/12/2007,13.31,86,Standalone
189,1,Four,Partners in Crime,Tenth Doctor,Donna Nobel,Russell T Davies,James Strong,Russell T Davies,05/04/2008,9.14,88,Standalone
190,2,Four,The Fires of Pompeii,Tenth Doctor,Donna Nobel,Russell T Davies,Colin Teague,James Moran,12/04/2008,9.04,87,Standalone
191,3,Four,Planet of the Ood,Tenth Doctor,Donna Nobel,Russell T Davies,Graeme Harper,Keith Temple,19/04/2008,7.5,87,Standalone
192a,4,Four,The Sontaran Stratagem,Tenth Doctor,"Donna Nobel, Martha Jones",Russell T Davies,Douglas Mackinnon,Helen Raynor,26/04/2008,7.06,87,Two-Parter
